year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity
2022;8;1;SEGUNDA;21;ALMIRANTE TAMANDARE;MATO DENTRO;Praticar Homicídio Culposo na Direção de Veículo;40;M;PARDA
2022;8;4;QUINTA;12;ALMIRANTE TAMANDARE;PACOTUBA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;PARDA
2022;8;14;DOMINGO;20;ALMIRANTE TAMANDARE;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;27;M;PARDA
2022;8;21;DOMINGO;19;ALMIRANTE TAMANDARE;LAMENHA PEQUENA;Praticar Homicídio Culposo na Direção de Veículo;19;F;
2022;8;21;DOMINGO;19;ALMIRANTE TAMANDARE;LAMENHA PEQUENA;Praticar Homicídio Culposo na Direção de Veículo;33;M;
2022;8;23;TERCA;12;ALMIRANTE TAMANDARE;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;
2022;8;27;SABADO;22;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);15;M;PARDA
2022;9;2;SEXTA;21;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;
2022;9;5;SEGUNDA;21;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;BRANCA
2022;9;14;QUARTA;0;ALMIRANTE TAMANDARE;RESTINGA SECA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;PARDA
2022;9;26;SEGUNDA;21;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);56;M;BRANCA
